Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
1 3 5 17,3,0 105 387 604 885 990,0 100 400 600 900 1000,23.13
3 5 9 19,4,0 88 702 790 884 1106,0 100 700 800 900 1100,23.238
3 9 15 17,5,0 99 315 597 813 912,0 100 300 600 800 900,23.409
5 9 15 17,3,0 99 702 801 983 1017,0 100 700 800 1000 1000,24.166
1 3 5 9,2,0 112 315 498 814 996,0 100 300 500 800 1000,24.187
5 9 17 19,3,0 89 182 1008 1101 1190,0 100 200 1000 1100 1200,24.698
5 7 15 21,5,0 0 499 583 618 702,0 0 500 600 600 700,24.86
1 5 9 17,1,0 105 183 288 387 1102,0 100 200 300 400 1100,25.12
3 5 9 17,4,0 183 604 786 885 1102,0 200 600 800 900 1100,27.019
5 15 19 21,1,0 85 410 494 583 1112,0 100 400 500 600 1100,28.178
1 5 15 21,3,0 386 617 1004 1088 1115,0 400 600 1000 1100 1100,29.496
5 7 15 19,0,0 88 119 208 617 790,0 100 100 200 600 800,30.952
3 5 15 21,5,0 302 386 617 884 1115,0 300 400 600 900 1100,31.145
1 5 7 15,1,0 112 582 694 814 1081,0 100 600 700 800 1100,32.573
3 5 7 15,1,0 196 316 582 814 1081,0 200 300 600 800 1100,33.956
5 9 15 21,4,0 182 618 800 884 1116,0 200 600 800 900 1100,34.059
5 15 17 21,0,0 84 216 301 582 918,0 100 200 300 600 900,34.073
5 7 11 21,4,0 84 418 502 583 1119,0 100 400 500 600 1100,35.128
7 15 19 21,3,0 409 498 908 1027 1081,0 400 500 900 1000 1100,35.199
5 7 19 21,5,0 410 498 583 1027 1111,0 400 500 600 1000 1100,35.256
5 7 9 15,5,0 120 182 302 618 884,0 100 200 300 600 900,36.166
1 5 19 21,2,0 213 297 386 1027 1115,0 200 300 400 1000 1100,36.442
5 7 15 17,1,0 217 582 799 919 1081,0 200 600 800 900 1100,36.551
7 11 13 21,3,0 290 702 992 1072 1120,0 300 700 1000 1100 1100,36.77
3 5 19 21,5,0 712 796 885 1027 1116,0 700 800 900 1000 1100,37.014
7 11 15 21,3,0 418 583 1001 1081 1120,0 400 600 1000 1100 1100,37.081
5 9 19 21,2,0 9 93 182 1027 1115,0 0 100 200 1000 1100,37.523
1 15 19 21,3,0 298 618 916 1027 1089,0 300 600 900 1000 1100,37.868
3 15 19 21,5,0 214 387 618 796 1027,0 200 400 600 800 1000,37.868
5 17 19 21,2,0 108 192 281 1027 1115,0 100 200 300 1000 1100,37.987
9 15 19 21,1,0 173 316 489 583 1107,0 200 300 500 600 1100,38.0
